query_table,query_value,candidate_table,candidate_value
governmentagency_left,"ministry of internally displaced persons from the occupied territories, accommodation and refugees (georgia)",governmentagency_right,"ministry of internally displaced persons from the occupied territories, accommodation and refugees of georgia"
sportsleague_left,2. liga (slovakia),sportsleague_right,slovak 1. liga
wrestler_left,ed whalen,wrestler_right,ed whalen (broadcaster)
hospital_left,"saint mary's regional medical center (reno, nevada)",hospital_right,saint mary's regional medical center (reno)
artwork_left,the flight into egypt (annibale carracci),artwork_right,landscape with the flight into egypt (annibale carracci)
drug_left,u-50488,drug_right,sb-399885
country_left,bishopric of strasbourg,country_right,prince-bishopric of strasbourg
award_left,tvynovelas award for best young lead actor,award_right,tvynovelas award for best co-lead actor
clericaladministrativeregion_left,syro-malabar catholic diocese of kothamangalam,clericaladministrativeregion_right,syro-malabar catholic eparchy of kothamangalam
country_left,republic of bosnia and herzegovina,country_right,condominium of bosnia and herzegovina
historicbuilding_left,"st. werburgh's church, dublin",historicbuilding_right,"st. michan's church, dublin"
reptile_left,malagasy giant chameleon,reptile_right,malagasy giant chameleon
historicbuilding_left,"holy trinity church, hastings",historicbuilding_right,"holy trinity church, marylebone"
drug_left,3-methoxy-4-methylamphetamine,drug_right,4-fluoro-n-methylamphetamine
givenname_left,sujata,givenname_right,sujata (name)
governmentagency_left,puerto rico education council,governmentagency_right,council on higher education of puerto rico
museum_left,brunswick railroad museum,museum_right,brunswick heritage museum
railwayline_left,"line 2, beijing subway",railwayline_right,"line 19, beijing subway"
footballleagueseason_left,2013 j. league division 2,footballleagueseason_right,2013 j.league division 1
legislature_left,national assembly (angola),legislature_right,national assembly of angola
givenname_left,haruyoshi,givenname_right,junichi
railwayline_left,fr8 (lazio regional railways),railwayline_right,fl4 (lazio regional railways)
artwork_left,salvator mundi (leonardo),artwork_right,salvator mundi (leonardo da vinci)
railwayline_left,funicular de vallvidrera,railwayline_right,vallvidrera funicular
naturalevent_left,2013 nantou earthquake,naturalevent_right,march 2013 nantou earthquake
drug_left,y-23684,drug_right,sb-216641
venue_left,takhti stadium (mashhad),venue_right,shahid rajai stadium
memberofparliament_left,ian macdonald (australian politician),memberofparliament_right,ian allan (politician)
song_left,sick of you,song_right,sick of you (gwar song)
christianbishop_left,patriarch dionysius ii of constantinople,christianbishop_right,ecumenical patriarch demetrios i of constantinople
ncaateamseason_left,1925 alabama crimson tide football team,ncaateamseason_right,1894 alabama crimson white football team
monarch_left,ashraf ali khan,monarch_right,ghazi ayub khan
amphibian_left,cowan's mantella,amphibian_right,cowan's mantella
naturalevent_left,1611 keicho sanriku earthquake,naturalevent_right,869 sanriku earthquake
case_left,united states v. darby lumber co.,case_right,united states v. detroit timber & lumber co.
sportfacility_left,ephraim mohale stadium,sportfacility_right,al merreikh stadium
rugbyleague_left,australian rugby championship,rugbyleague_right,oceania rugby cup
soccerleague_left,west cheshire association football league,soccerleague_right,west cheshire amateur football league
basketballteam_left,al sadd basketball team,basketballteam_right,al rayan sc basketball team
motorsportseason_left,2000 fia gt championship season,motorsportseason_right,2000 fia gt championship
footballleagueseason_left,jordan league 1954,footballleagueseason_right,1954 jordan league
monarch_left,inayatullah khan,monarch_right,najmuddin ali khan
tournament_left,2013 uefa european under-21 football championship,tournament_right,2013 uefa european under-21 championship
rugbyleague_left,championship cup,rugbyleague_right,top league champions cup
soccerclubseason_left,2013 incheon united season,soccerclubseason_right,2013 incheon united fc season
footballleagueseason_left,2010 j. league division 1,footballleagueseason_right,2012 j.league division 1
stadium_left,iksan south korea national baseball team training stadium,stadium_right,seoul gocheok dome baseball stadium
givenname_left,jean-marie,givenname_right,guillaume
soccertournament_left,1947 nafc championship,soccertournament_right,nafc championship 1949
shoppingmall_left,regency square mall (jacksonville),shoppingmall_right,"regency square mall (jacksonville, florida)"
sportfacility_left,prince abdullah bin jalawi stadium,sportfacility_right,saoud bin abdulrahman stadium
award_left,pmpc star awards for tv 2009 winners,award_right,21st pmpc star awards for television
case_left,national railroad passenger corporation v. boston & maine corp.,case_right,national railroad passenger corp. v. boston & maine corp.
naturalevent_left,2012 yangzhou earthquake,naturalevent_right,march 2013 nantou earthquake
soccertournament_left,1986 uefa european under-18 football championship,soccertournament_right,1986 uefa european under-21 championship
wrestler_left,ray stevens (wrestler),wrestler_right,aaron stevens (wrestler)
hospital_left,hong kong central hospital,hospital_right,hong kong sanatorium & hospital
footballmatch_left,2001 international rules series,footballmatch_right,2001 international rules series
hospital_left,toronto western hospital,hospital_right,princess margaret hospital (toronto)
venue_left,"fox theatre (atlanta, georgia)",venue_right,"fox theatre (st. louis, missouri)"
memberofparliament_left,d. a. rajapaksa,memberofparliament_right,s. jeyanandamoorthy
governmentagency_left,institute for nature conservation and biodiversity,governmentagency_right,institute for nature conservation and forests
ethnicgroup_left,georgians in israel,ethnicgroup_right,georgian jews in israel
memberofparliament_left,ernest william robinson,memberofparliament_right,william cornforth robinson
race_left,prince of wales's stakes,race_right,prince of wales stakes (australia)
song_left,fly from here (song),song_right,fly from here (song series)
country_left,eurasian economic community,country_right,eurasian economic union
election_left,"minnesota house of representatives elections, 2010",election_right,"minnesota house of representatives election, 2008"
televisionstation_left,wvvq-lp,televisionstation_right,wvvq-ld
noble_left,"mir nizam ali khan, asaf jah ii",noble_right,"nizam ali khan, asaf jah ii"
tennistournament_left,2010 tennislife cup,tennistournament_right,2000 tennis masters cup and atp tour world championships
historicbuilding_left,st brannock's church,historicbuilding_right,"st saviour's church, branston"
ncaateamseason_left,1984 oregon ducks football team,ncaateamseason_right,1964 oregon ducks football team
governmentagency_left,memorial museum of astronautics,governmentagency_right,memorial museum of cosmonautics
device_left,m34 grenade,device_right,m320 grenade launcher
soccertournament_left,2010 concacaf under-20 women's championship,soccertournament_right,2010 concacaf women's u-20 championship
galaxy_left,ngc 6782,galaxy_right,ngc 6872
magazine_left,pcquest (magazine),magazine_right,custom pc (magazine)
stadium_left,goyang korea national baseball team training stadium,stadium_right,iksan national baseball training stadium
wrestler_left,alex pourteau,wrestler_right,alex porteau
soccerclubseason_left,2012 gwangju fc season,soccerclubseason_right,2012 jeju united fc season
historicbuilding_left,st. john's seminary (wonersh),historicbuilding_right,"st john's seminary, wonersh"
venue_left,stade jules deschaseaux,venue_right,stade henri desgranges
tennistournament_left,2010 riviera di rimini challenger,tennistournament_right,2013 challenger banque nationale de rimouski
amphibian_left,golden mantella,amphibian_right,golden mantella
historicbuilding_left,"st. mary's church, dublin",historicbuilding_right,"st. andrew's church, westland row, dublin"
reptile_left,bougainville's skink,reptile_right,bougainville's skink
country_left,republic of mountainous armenia,country_right,first republic of armenia
memberofparliament_left,ian macdonald (australian politician),memberofparliament_right,allan mcdonald (australian politician)
politicalparty_left,hungarian justice and life party,politicalparty_right,hungarian workers' party
race_left,sajc breeders' stakes,race_right,national stakes (sajc)
clericaladministrativeregion_left,roman catholic diocese of coimbatore,clericaladministrativeregion_right,diocese of coimbatore
reptile_left,marbled water monitor,reptile_right,marbled water monitor
christianbishop_left,mark davies (bishop of middleton),christianbishop_right,john davies (bishop of shrewsbury)
magazine_left,due south (magazine),magazine_right,due south magazine
case_left,winona & st. peter r. co. v. barney,case_right,winona & st. peter railroad co. v. barney
hospital_left,university of maryland medical center,hospital_right,university of maryland st. joseph medical center
tournament_left,2004 uefa european under-19 football championship,tournament_right,2004 uefa european under-19 championship
naturalevent_left,april 2009 afghanistan earthquake,naturalevent_right,2012 afghanistan earthquakes
venue_left,soldotna sports center,venue_right,soldotna regional sports complex
footballmatch_left,1990 european cup final,footballmatch_right,1988 dfb-pokal final
railwayline_left,"line 16, shanghai metro",railwayline_right,"line 17, shanghai metro"
artwork_left,the bohemian (bouguereau painting),artwork_right,the bohemian
soccerleague_left,swedish football division 1 norra,soccerleague_right,swedish football division 1 norra
sportfacility_left,shahid bahonar stadium,sportfacility_right,khazar lankaran central stadium
museum_left,currency museum,museum_right,currency museum (canada)
amphibian_left,copland's rock frog,amphibian_right,copland's rock frog
soccerleague_left,2. liga (slovakia),soccerleague_right,i liga (slovakia)
politicalparty_left,christian democracy for autonomies,politicalparty_right,christian democracy for the autonomies
railwayline_left,fr8 (lazio regional railways),railwayline_right,fl3 (lazio regional railways)
case_left,manual enterprises v. day,case_right,"manual enterprises, inc. v. day"
clericaladministrativeregion_left,anglican diocese of calgary,clericaladministrativeregion_right,anglican diocese of british columbia
song_left,rock island line (song),song_right,rock island line
monarch_left,abu bakr ibn muhammad,monarch_right,muhammad ibn shaddad
ncaateamseason_left,1945 alabama crimson tide football team,ncaateamseason_right,1896 alabama crimson white football team
song_left,there is power in a union,song_right,there is power in a union
soccerleague_left,scottish football league second division,soccerleague_right,west of scotland super league premier division
motorsportseason_left,2003 european touring car championship season,motorsportseason_right,2003 european touring car championship
artwork_left,crucifixion (modena),artwork_right,crucifixion with the virgin and st john
givenname_left,juhan,givenname_right,jahsh
case_left,baylis v. travelers' insurance company,case_right,baylis v. travelers' insurance co.
basketballteam_left,hapoel galil elyon,basketballteam_right,hapoel afula b.c.
sportfacility_left,nrgi arena,sportfacility_right,nrg arena
nationalfootballleagueseason_left,1981 bc lions season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
enzyme_left,glycerol-3-phosphate dehydrogenase,enzyme_right,sn-glycerol-1-phosphate dehydrogenase
footballmatch_left,2007 bulgarian supercup,footballmatch_right,2012 albanian supercup
noble_left,"frederick xi, count of hohenzollern",noble_right,"eitel friedrich iv, count of hohenzollern"
christianbishop_left,patriarch callinicus iv of constantinople,christianbishop_right,callinicus iii of constantinople
device_left,motorola ming,device_right,motorola ming
case_left,united states v. american library association,case_right,united states v. american library ass'n
amphibian_left,mantidactylus tricinctus,amphibian_right,mantidactylus rivicola
museum_left,museo nacional de culturas populares,museum_right,museo nacional de arte
election_left,"ukrainian presidential election, 2010",election_right,"ukrainian presidential election, 2014"
song_left,main naahin maakhan khaayo,song_right,bharata mataku jejelu
award_left,bafta rising star award,award_right,"rising star award, bafta"
ncaateamseason_left,1949 alabama crimson tide football team,ncaateamseason_right,1896 alabama crimson white football team
rugbyleague_left,rugby league world cup,rugbyleague_right,world rugby nations cup
song_left,these are the days (song),song_right,these are the days (van morrison song)
shoppingmall_left,westfield belden village,shoppingmall_right,westfield solano
memberofparliament_left,p. radhakrishnan,memberofparliament_right,p. chandrasekaran
givenname_left,alexis (given name),givenname_right,alexis
historicbuilding_left,"gustaf church, copenhagen",historicbuilding_right,"christ church, copenhagen"
wrestler_left,takeshi morishima,wrestler_right,atsushi maruyama
hospital_left,cheddikulam hospital,hospital_right,chavakacheri hospital
legislature_left,odisha legislative assembly,legislature_right,legislative assembly of odisha
basketballteam_left,trikala b.c.,basketballteam_right,trikala 2000 b.c.
reptile_left,turnip-tailed gecko,reptile_right,turnip-tailed gecko
soccertournament_left,2007 ofc champions league,soccertournament_right,2006â07 ofc champions league
noble_left,"louis george, margrave of baden-baden",noble_right,margrave hermann of baden-baden
soccertournament_left,1989 melanesia cup,soccertournament_right,melanesia cup 1990
artwork_left,the raising of lazarus (sebastiano del piombo),artwork_right,resurrection (piero della francesca)
televisionstation_left,pbs america,televisionstation_right,pbs world
hospital_left,kwong wah hospital,hospital_right,kiang wu hospital
tournament_left,2006 uefa european under-21 football championship,tournament_right,2006 uefa european under-17 championship
hospital_left,nawaloka hospital,hospital_right,naggalama hospital
basketballteam_left,cuxhaven bascats,basketballteam_right,cuxhaven bascats
artificialsatellite_left,usa-183,artificialsatellite_right,usa-242
legislature_left,house of lords of prussia,legislature_right,prussian house of lords
memberofparliament_left,ben riley (mp),memberofparliament_right,ben riley (politician)
hospital_left,"queen elizabeth hospital, hong kong",hospital_right,st. teresa's hospital (hong kong)
museum_left,norfolk and suffolk aviation museum,museum_right,museum of aviation
railwayline_left,"line 5, shanghai metro",railwayline_right,"line 22, shanghai metro"
shoppingmall_left,"regency square mall (florence, alabama)",shoppingmall_right,"regency square mall (jacksonville, florida)"
politicalparty_left,slovak pirate party,politicalparty_right,pirate party of croatia
artificialsatellite_left,eutelsat 70a,artificialsatellite_right,eutelsat 31a
song_left,top of the world (bridgit mendler song),song_right,top of the world (pussycat dolls song)
device_left,remington model 95,device_right,remington model 121
nationalfootballleagueseason_left,1914 ottawa rough riders season,nationalfootballleagueseason_right,1914 canton professionals season
award_left,3rd lux style awards,award_right,lux style award
ncaateamseason_left,1896 auburn tigers football team,ncaateamseason_right,1897 alabama crimson white football team
country_left,liao dynasty,country_right,liang dynasty
clericaladministrativeregion_left,roman catholic archdiocese of quebec,clericaladministrativeregion_right,roman catholic archdiocese of kingston in canada
reptile_left,knysna dwarf chameleon,reptile_right,knysna dwarf chameleon
case_left,oregon dept. of fish and wildlife v. klamath indian tribe,case_right,"c & l enterprises, inc. v. citizen band, potawatomi indian tribe of oklahoma"
shoppingmall_left,"zona rosa (kansas city, missouri)",shoppingmall_right,zona rosa (kansas city)
song_left,black crow blues,song_right,outlaw blues (bob dylan song)
governmentagency_left,corruption eradication commission,governmentagency_right,crime and corruption commission
motorsportseason_left,2010 world touring car championship season,motorsportseason_right,2010 world touring car championship
governmentagency_left,electricity commission (nz),governmentagency_right,electricity authority (new zealand)
venue_left,bukovyna stadium,venue_right,gani muratbayev stadium
election_left,"camden council election, 2010",election_right,"camden london borough council election, 2010"
footballleagueseason_left,2005 j. league division 1,footballleagueseason_right,2004 j.league division 1
hospital_left,king faisal specialist hospital and research centre,hospital_right,king faisal specialist hospital
clericaladministrativeregion_left,anglican diocese of toronto,clericaladministrativeregion_right,anglican diocese of huron
clericaladministrativeregion_left,syro-malabar catholic archdiocese of changanassery,clericaladministrativeregion_right,syro-malabar catholic archeparchy of changanassery
noble_left,"eitel frederick iv, count of hohenzollern",noble_right,"eitel friedrich iii, count of hohenzollern"
soccerclubseason_left,2012 woodlands wellington season,soccerclubseason_right,2013 woodlands wellington fc season
galaxy_left,ngc 5866,galaxy_right,ngc 5562
sportfacility_left,shahid bahonar stadium,sportfacility_right,zahir pajaziti city stadium
unitofwork_left,city of walla walla v. walla walla water company,unitofwork_right,city of walla walla v. walla walla water co
nationalfootballleagueseason_left,1939 cleveland rams season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
artwork_left,the marriage of the virgin (michelino da besozzo),artwork_right,the virgin and child with two angels (andrea del verrochio)
soccerleague_left,ffsa national premier league,soccerleague_right,ffsa premier league
rugbyleague_left,victoria cup (rugby union),rugbyleague_right,oceania rugby cup
monarch_left,parakramabahu viii of kotte,monarch_right,parakramabahu ix of kotte
unitofwork_left,florida v. jimeno,unitofwork_right,florida v. j.l.
unitofwork_left,illinois central railroad v. illinois,unitofwork_right,"wabash, st. louis & pacific railway co. v. illinois"
reptile_left,monte cristo arboreal alligator lizard,reptile_right,monte cristo arboreal alligator lizard
ncaateamseason_left,1989 oregon ducks football team,ncaateamseason_right,1964 oregon ducks football team
legislature_left,antrim borough council,legislature_right,antrim and newtownabbey borough council
rugbyleague_left,european under-18 rugby union championship,rugbyleague_right,world rugby under 20 championship
tennistournament_left,2013 open bnp paribas banque de bretagne,tennistournament_right,2011 challenger banque nationale de saguenay
election_left,"somaliland parliamentary election, 2014",election_right,"somaliland parliamentary election, 2012"
basketballteam_left,hapoel jerusalem b.c.,basketballteam_right,hapoel afula b.c.
footballleagueseason_left,1995 swedish football division 3,footballleagueseason_right,1993 swedish football division 3
soccerleague_left,southern football league (south australia),soccerleague_right,national premier leagues south australia
footballleagueseason_left,2000 j. league division 1,footballleagueseason_right,2000 j.league division 2
stadium_left,bright hockey center,stadium_right,bright-landry hockey center
givenname_left,suketoshi,givenname_right,sujata (name)
naturalevent_left,1999 oaxaca earthquake,naturalevent_right,1980 oaxaca earthquake
televisionstation_left,kix (asian tv channel),televisionstation_right,kix! (tv channel)
artificialsatellite_left,kosmos 1596,artificialsatellite_right,kosmos 1667
sportsleague_left,scottish premiership division one,sportsleague_right,west of scotland super league first division
footballmatch_left,2011 bulgarian supercup,footballmatch_right,2012 albanian supercup
artificialsatellite_left,kosmos 705,artificialsatellite_right,kosmos 605
tennistournament_left,2011 challenger banque nationale de granby,tennistournament_right,2013 challenger banque nationale de rimouski
soccerclubseason_left,2006 australia national football team season,soccerclubseason_right,2012 australia national soccer team season
noble_left,"john de grey, 1st baron grey de rotherfield",noble_right,"john de grey, 2nd baron grey de rotherfield"
nationalfootballleagueseason_left,1949 cleveland browns season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
memberofparliament_left,william fleming (australian politician),memberofparliament_right,william kelly (australian politician)
stadium_left,guangdong olympic tennis centre,stadium_right,"national tennis center, beijing"
tournament_left,2012 bell challenge,tournament_right,2012 challenge bell
device_left,chieftain tank,device_right,chieftain (tank)
ethnicgroup_left,orthodox christianity in lebanon,ethnicgroup_right,greek orthodox christianity in lebanon
basketballteam_left,kk novi sad,basketballteam_right,kk vojvodina srbijagas
election_left,"liechtenstein parliamentary election, 2009",election_right,"liechtenstein general election, 2009"
case_left,"toilet goods association, inc. v. gardner",case_right,"toilet goods ass'n, inc. v. gardner"
reptile_left,big bend slider,reptile_right,big bend slider
device_left,type 4 15 cm howitzer,device_right,type 91 10 cm howitzer
unitofwork_left,wallace corporation v. national labor relations board,unitofwork_right,wallace corp. v. nlrb
governmentagency_left,ministry of foreign affairs (portugal),governmentagency_right,ministry of economy (portugal)
reptile_left,sharp-snouted rock lizard,reptile_right,sharp-snouted rock lizard
shoppingmall_left,lakeshore mall (florida),shoppingmall_right,lakeshore mall
footballleagueseason_left,2008 j. league division 1,footballleagueseason_right,2013 j.league division 1
clericaladministrativeregion_left,anglican diocese of angola,clericaladministrativeregion_right,anglican diocese of zululand
device_left,springfield model 1870,device_right,springfield model 1873
politicalparty_left,democratic party (serbia),politicalparty_right,national party (serbia)
nationalfootballleagueseason_left,1982 st. louis cardinals (nfl) season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
nationalfootballleagueseason_left,1937 detroit lions season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
award_left,grammy award for best instrumental performance,award_right,grammy award for best contemporary instrumental album
historicbuilding_left,"st mary the virgin's church, stonham parva",historicbuilding_right,"st mary the virgin's church, middleton"
shoppingmall_left,capital city mall,shoppingmall_right,capital mall
song_left,watch me (bella thorne and zendaya song),song_right,watch me (bella thorne & zendaya song)
race_left,breeders' cup marathon,race_right,breeders classic
drug_left,ah-7921,drug_right,sb-399885
election_left,"camden council election, 2010",election_right,"camden london borough council election, 2006"
election_left,"belgian regional elections, 2014",election_right,"belgian local elections, 2012"
election_left,"kerala state legislative assembly election, 2006",election_right,"kerala legislative assembly election, 2006"
givenname_left,dariush,givenname_right,jahsh
shoppingmall_left,the promenade shopping centre,shoppingmall_right,promenade (shopping centre)
stadium_left,chandrasekharan nair stadium,stadium_right,rajiv gandhi indoor stadium
footballmatch_left,2011 caf confederation cup final,footballmatch_right,2011 uefa european under-21 championship final
televisionstation_left,wxxv-dt2,televisionstation_right,wxxv-dt3
case_left,new england mutual life insurance co. v. woodworth,case_right,connecticut general life insurance co. v. johnson
country_left,italian aegean islands,country_right,italian islands of the aegean
drug_left,brl-44408,drug_right,sb-399885
race_left,uci cyclo-cross world cup,race_right,uci track cycling world cup
rugbyleague_left,irb women's sevens world series,rugbyleague_right,world rugby women's sevens series
governmentagency_left,state emergency service of ukraine,governmentagency_right,ministry of emergencies (ukraine)
soccerclubseason_left,1997 australia national football team season,soccerclubseason_right,1998 australia national soccer team season
hospital_left,sinai hospital,hospital_right,mount sinai hospital (manhattan)
naturalevent_left,2004 morocco earthquake,naturalevent_right,2004 al hoceima earthquake
museum_left,national motor museum,museum_right,"national motor museum, beaulieu"
reptile_left,california kingsnake,reptile_right,california kingsnake
nationalfootballleagueseason_left,1933 chicago bears season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
museum_left,hungarian railway museum,museum_right,hungarian railway history park
sportsleague_left,fivb volleyball world championship,sportsleague_right,fivb volleyball boys' u19 world championship
politicalparty_left,french popular party,politicalparty_right,french party
noble_left,"frederick iii, margrave of baden",noble_right,"christoph i, margrave of baden-baden"
footballleagueseason_left,1993 swedish football division 1,footballleagueseason_right,1993 swedish football division 3
hospital_left,letterkenny general hospital,hospital_right,letterkenny university hospital
televisionstation_left,ksbt-ld,televisionstation_right,ksvt-ld
drug_left,sulfadoxine,drug_right,suloctidil
monarch_left,saadat ali khan ii,monarch_right,saadatullah khan i
christianbishop_left,patriarch parthenius iii of constantinople,christianbishop_right,pachomius ii of constantinople
naturalevent_left,"february 4, 1998 afghanistan earthquake",naturalevent_right,2012 afghanistan earthquakes
givenname_left,saiichi,givenname_right,junichi
memberofparliament_left,david fairbairn (politician),memberofparliament_right,david fairbairn
artwork_left,old woman cooking eggs,artwork_right,old woman frying eggs
country_left,yuan dynasty,country_right,sui dynasty
tournament_left,1970 ncaa division i men's soccer championship,tournament_right,1969 ncaa men's soccer championship
galaxy_left,ngc 3552,galaxy_right,ngc 34
artificialsatellite_left,kosmos 2350,artificialsatellite_right,kosmos 605
monarch_left,k'uk' b'alam i,monarch_right,k'uk' bahlam i
soccertournament_left,2002 uefa european under-17 football championship,soccertournament_right,2002 uefa european under-17 championship
governmentagency_left,department for transport,governmentagency_right,transport department
enzyme_left,(r)-2-hydroxyacid dehydrogenase,enzyme_right,4-hydroxyphenylacetate 3-monooxygenase
christianbishop_left,peter bartlett (bishop),christianbishop_right,peter doyle (bishop)
song_left,christmas (baby please come home),song_right,santa bring my baby back (to me)
race_left,cathay pacific gold cup,race_right,december gold cup
naturalevent_left,2008 bandar abbas earthquake,naturalevent_right,2008 bandar abbas earthquake
naturalevent_left,2009 papua earthquake,naturalevent_right,2009 papua earthquakes
nationalfootballleagueseason_left,1924 chicago cardinals season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
rugbyleague_left,the rugby championship,rugbyleague_right,rugby league european championship c
country_left,liu song dynasty,country_right,xin dynasty
