query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Stadium_left.csv,title,arena das dunas,SportFacility_left,title,arena das dunas,0.9999995231628418
Stadium_left.csv,title,new laos national stadium,SportFacility_left,title,laos national stadium,0.9416893720626831
Stadium_left.csv,title,elizabeth oval,SportFacility_left,title,queen elizabeth oval,0.9273052215576172
Stadium_left.csv,title,jacksonville baseball complex,SportFacility_left,title,baseball grounds of jacksonville,0.9211215972900391
Stadium_left.csv,title,estadio nacional de costa rica (2011),SportFacility_left,title,estadio nacional de costa rica (1924),0.9138451218605042
Stadium_left.csv,title,new tivoli,SportFacility_left,title,old tivoli,0.8849987983703613
Stadium_left.csv,title,olympic stadium (amsterdam),SportFacility_left,title,old stadion (amsterdam),0.8843544125556946
Stadium_left.csv,title,richmond olympic oval,SportFacility_left,title,richmond oval (south australia),0.8768417835235596
Stadium_left.csv,title,guangdong provincial people's stadium,SportFacility_left,title,new shenzhen stadium,0.873120903968811
Stadium_left.csv,title,baseball ground,SportFacility_left,title,bat and ball ground,0.8606857657432556
Stadium_left.csv,title,stadionul regie,SportFacility_left,title,stadionul viorel mateianu,0.8552535772323608
Stadium_left.csv,title,plaza de toros de zaragoza,SportFacility_left,title,plaza de toros la macarena,0.8510371446609497
Stadium_left.csv,title,bangalore hockey stadium,SportFacility_left,title,"national hockey stadium, lahore",0.845649242401123
Stadium_left.csv,title,palacio de los deportes virgilio travieso soto,SportFacility_left,title,palacio municipal de deportes san pablo,0.8427612781524658
Stadium_left.csv,title,stadthalle graz,SportFacility_left,title,bremerhaven stadthalle,0.8411211967468262
Stadium_left.csv,title,"memorial stadium, asheville",SportFacility_left,title,arthur ashe stadium,0.838300347328186
Stadium_left.csv,title,memorial gymnasium (vanderbilt university),SportFacility_left,title,men's gymnasium (indiana university),0.8365702629089355
Stadium_left.csv,title,zayed sports city stadium,SportFacility_left,title,cairo international stadium,0.8358266353607178
Stadium_left.csv,title,kraljevo sports hall,SportFacility_left,title,kaunas sports hall,0.8356121182441711
Stadium_left.csv,title,javelina stadium,SportFacility_left,title,lawson tama stadium,0.8311212062835693
Stadium_left.csv,title,moscow region stadium,SportFacility_left,title,sochi central stadium,0.8301160335540771
Stadium_left.csv,title,department of education stadium (unaizah),SportFacility_left,title,institute of physical education chonburi campus stadium,0.8261862993240356
Stadium_left.csv,title,pnc arena,SportFacility_left,title,philadelphia arena,0.8250246047973633
Stadium_left.csv,title,bear stadium,SportFacility_left,title,bears & eagles riverfront stadium,0.8234663009643555
Stadium_left.csv,title,wankdorf stadium,SportFacility_left,title,"stade de suisse, wankdorf",0.8223916888237
Stadium_left.csv,title,honneur stadium,SportFacility_left,title,new bordeaux stadium,0.8221288919448853
Stadium_left.csv,title,sartain hall (old trojan arena),SportFacility_left,title,trojan arena,0.8148877620697021
Stadium_left.csv,title,athletic grounds,SportFacility_left,title,greenfield athletic ground,0.8146039247512817
Stadium_left.csv,title,movistar arena,SportFacility_left,title,nokia arena,0.8100790977478027
Stadium_left.csv,title,walter brown arena,SportFacility_left,title,james brown arena,0.8100159168243408
Stadium_left.csv,title,geraldine park,SportFacility_left,title,leah victoria park,0.8082345724105835
Stadium_left.csv,title,estadio pedro marrero,SportFacility_left,title,estadio municipal doctor mario sobrero,0.8036285638809204
Stadium_left.csv,title,boxer stadium,SportFacility_left,title,lumpinee boxing stadium,0.8030520677566528
Stadium_left.csv,title,estadio alberto j. armando,SportFacility_left,title,estadio bicentenario de la florida,0.8012207746505737
Stadium_left.csv,title,stadium australia,SportFacility_left,title,sydney super dome,0.8004183769226074
Stadium_left.csv,title,bmo harris bank center,SportFacility_left,title,sun national bank center,0.7988636493682861
Stadium_left.csv,title,lg champions park,SportFacility_left,title,gs champions park,0.7969491481781006
Stadium_left.csv,title,arizona veterans memorial coliseum,SportFacility_left,title,spokane veterans memorial arena,0.7967444658279419
Stadium_left.csv,title,lawson arena,SportFacility_left,title,mckenzie arena,0.7954497933387756
Stadium_left.csv,title,brooks field (wilmington),SportFacility_left,title,williams stadium (wilmington),0.7928666472434998
Stadium_left.csv,title,skonto hall,SportFacility_left,title,jezero hall,0.7910704612731934
Stadium_left.csv,title,grand stade d'alger,SportFacility_left,title,grand stade de casablanca,0.7908588647842407
Stadium_left.csv,title,bristol city stadium,SportFacility_left,title,brentford community stadium,0.7904268503189087
Stadium_left.csv,title,palaonda,SportFacility_left,title,palasharp,0.7893682718276978
Stadium_left.csv,title,peterson gym,SportFacility_left,title,davies gym,0.7888317108154297
Stadium_left.csv,title,mississippi coast coliseum,SportFacility_left,title,hampton coliseum,0.7879472374916077
Stadium_left.csv,title,usf baseball stadium,SportFacility_left,title,usf sun dome,0.7879095673561096
Stadium_left.csv,title,dsc indoor arena,SportFacility_left,title,dsc multi-purpose stadium,0.7874075770378113
Stadium_left.csv,title,estadio universidad san marcos,SportFacility_left,title,"university soccer stadium, chico",0.784784197807312
Stadium_left.csv,title,scott park baseball complex,SportFacility_left,title,baseball park (perth),0.7829748392105103
Stadium_left.csv,title,kashima soccer stadium,SportFacility_left,title,osaka city ground,0.782863974571228
Stadium_left.csv,title,sport central,SportFacility_left,title,the sportzone,0.782514750957489
Stadium_left.csv,title,environiq arena,SportFacility_left,title,energysolutions arena,0.780947208404541
Stadium_left.csv,title,memorial stadium (boise),SportFacility_left,title,rose bowl (stadium),0.7802927494049072
Stadium_left.csv,title,caledonian stadium,SportFacility_left,title,new aberdeen stadium,0.7797121405601501
Stadium_left.csv,title,billesley common,SportFacility_left,title,caterham common,0.7787104845046997
